iso_time,epoch_s,board_ms,thrust_lbf,thrust_N,raw_counts
2026-09-17T15:23:19.961,1789683799.962,114450,-0.0107,-0.047,70287
2026-09-17T15:23:19.961,1789683799.962,114566,0.0736,0.327,69572
2026-09-17T15:23:20.363,1789683800.364,114680,0.0314,0.140,68898
2026-09-17T15:23:20.364,1789683800.364,114796,0.1565,0.696,59694
2026-09-17T15:23:20.364,1789683800.365,114912,0.0330,0.147,71170
2026-09-17T15:23:20.364,1789683800.365,115027,0.0982,0.437,65873
2026-09-17T15:23:20.768,1789683800.768,115142,0.0291,0.130,73214
2026-09-17T15:23:20.768,1789683800.768,115258,-0.0021,-0.009,76038
2026-09-17T15:23:20.768,1789683800.769,115374,-0.0137,-0.061,76646
2026-09-17T15:23:21.170,1789683801.170,115488,0.0063,0.028,73730
2026-09-17T15:23:21.170,1789683801.171,115604,0.0114,0.051,65426
2026-09-17T15:23:21.170,1789683801.171,115720,0.1049,0.467,70727
2026-09-17T15:23:21.170,1789683801.171,115834,0.0324,0.144,67329
2026-09-17T15:23:21.573,1789683801.574,115950,0.0509,0.226,74702
2026-09-17T15:23:21.574,1789683801.574,116066,0.0111,0.049,75003
2026-09-17T15:23:21.574,1789683801.574,116180,-0.0146,-0.065,77574
2026-09-17T15:23:21.974,1789683801.975,116296,0.0007,0.003,69251
2026-09-17T15:23:21.975,1789683801.975,116412,0.0746,0.332,67750
2026-09-17T15:23:21.975,1789683801.975,116527,0.0249,0.111,74401
2026-09-17T15:23:21.975,1789683801.976,116642,-0.0210,-0.094,79531
2026-09-17T15:23:22.378,1789683802.379,116758,-0.0313,-0.139,77775
2026-09-17T15:23:22.378,1789683802.379,116873,-0.0562,-0.250,79577
2026-09-17T15:23:22.379,1789683802.379,116988,-0.0234,-0.104,78024
2026-09-17T15:23:22.781,1789683802.781,117104,-0.0194,-0.086,76980
2026-09-17T15:23:22.781,1789683802.782,117219,-0.0137,-0.061,76462
2026-09-17T15:23:22.781,1789683802.782,117335,-0.0135,-0.060,76250
2026-09-17T15:23:23.186,1789683803.187,117450,-0.0063,-0.028,76623
2026-09-17T15:23:23.186,1789683803.187,117565,-0.0112,-0.050,74757
2026-09-17T15:23:23.187,1789683803.187,117681,-0.0084,-0.037,76277
2026-09-17T15:23:23.187,1789683803.187,117796,0.1141,0.508,61883
2026-09-17T15:23:23.588,1789683803.588,117912,0.0533,0.237,68668
2026-09-17T15:23:23.588,1789683803.589,118027,0.0345,0.154,60988
2026-09-17T15:23:23.588,1789683803.589,118142,0.1562,0.695,44467
2026-09-17T15:23:23.992,1789683803.993,118258,0.1067,0.475,77891
2026-09-17T15:23:23.992,1789683803.993,118373,0.0038,0.017,65218
2026-09-17T15:23:23.993,1789683803.993,118489,0.2522,1.122,45207
2026-09-17T15:23:23.993,1789683803.993,118604,0.3784,1.683,13717
2026-09-17T15:23:24.394,1789683804.394,118719,0.4739,2.108,32934
2026-09-17T15:23:24.394,1789683804.394,118835,0.1835,0.816,72442
2026-09-17T15:23:24.394,1789683804.395,118950,-0.0064,-0.028,76179
2026-09-17T15:23:24.794,1789683804.795,119065,-0.0119,-0.053,76570
2026-09-17T15:23:24.795,1789683804.795,119181,-0.0118,-0.052,76803
2026-09-17T15:23:24.795,1789683804.796,119297,-0.0119,-0.053,76608
2026-09-17T15:23:24.795,1789683804.796,119411,-0.0125,-0.056,76562
2026-09-17T15:23:25.200,1789683805.200,119527,-0.0126,-0.056,76281
2026-09-17T15:23:25.200,1789683805.200,119643,-0.0118,-0.052,76272
2026-09-17T15:23:25.200,1789683805.201,119757,-0.0113,-0.050,76145
2026-09-17T15:23:25.604,1789683805.605,119873,-0.0134,-0.059,76415
2026-09-17T15:23:25.605,1789683805.605,119989,0.0422,0.188,76266
2026-09-17T15:23:25.605,1789683805.605,120103,-0.0064,-0.028,68188
2026-09-17T15:23:25.605,1789683805.605,120219,-0.0058,-0.026,67710
2026-09-17T15:23:26.008,1789683806.008,120335,0.0986,0.438,73129
2026-09-17T15:23:26.008,1789683806.009,120450,-0.0455,-0.202,85196
2026-09-17T15:23:26.008,1789683806.009,120565,-0.0970,-0.432,79666
2026-09-17T15:23:26.413,1789683806.413,120681,0.0196,0.087,61036
2026-09-17T15:23:26.413,1789683806.414,120796,0.2287,1.017,18966
2026-09-17T15:23:26.414,1789683806.414,120911,0.7305,3.249,-49999
2026-09-17T15:23:26.414,1789683806.414,121027,1.2824,5.704,-109059
2026-09-17T15:23:26.814,1789683806.814,121142,1.8728,8.331,-185701
2026-09-17T15:23:26.814,1789683806.815,121257,2.4916,11.083,-252583
2026-09-17T15:23:26.814,1789683806.815,121373,2.9387,13.072,-299390
2026-09-17T15:23:27.218,1789683807.219,121488,3.3351,14.835,-335291
2026-09-17T15:23:27.219,1789683807.219,121604,3.4757,15.461,-351760
2026-09-17T15:23:27.219,1789683807.219,121719,3.6843,16.389,-379427
2026-09-17T15:23:27.219,1789683807.219,121834,3.8362,17.064,-390919
2026-09-17T15:23:27.619,1789683807.620,121950,3.8847,17.280,-398891
2026-09-17T15:23:27.619,1789683807.620,122065,4.0246,17.902,-418651
2026-09-17T15:23:27.620,1789683807.620,122181,4.1968,18.668,-437087
2026-09-17T15:23:28.025,1789683808.025,122296,4.3650,19.416,-455552
2026-09-17T15:23:28.025,1789683808.025,122412,4.5133,20.076,-470251
2026-09-17T15:23:28.025,1789683808.026,122527,4.6462,20.667,-496934
2026-09-17T15:23:28.025,1789683808.026,122642,4.8645,21.639,-512663
2026-09-17T15:23:28.425,1789683808.426,122758,4.8971,21.784,-507599
2026-09-17T15:23:28.426,1789683808.426,122873,4.8731,21.676,-515377
2026-09-17T15:23:28.426,1789683808.427,122988,4.9810,22.157,-520362
2026-09-17T15:23:28.828,1789683808.828,123104,4.8933,21.766,-495763
2026-09-17T15:23:28.828,1789683808.828,123219,4.7842,21.281,-490972
2026-09-17T15:23:28.828,1789683808.829,123334,4.6007,20.465,-469986
2026-09-17T15:23:28.828,1789683808.829,123450,4.5127,20.074,-460403
2026-09-17T15:23:29.231,1789683809.231,123566,4.4071,19.604,-444941
2026-09-17T15:23:29.231,1789683809.232,123680,4.2049,18.704,-424840
2026-09-17T15:23:29.231,1789683809.232,123796,4.1706,18.552,-426797
2026-09-17T15:23:29.635,1789683809.635,123912,4.1246,18.347,-411534
2026-09-17T15:23:29.635,1789683809.635,124026,4.0101,17.838,-389198
2026-09-17T15:23:29.635,1789683809.636,124142,3.5436,15.763,-284643
2026-09-17T15:23:29.635,1789683809.636,124258,2.5192,11.206,-173419
2026-09-17T15:23:30.040,1789683810.040,124372,1.7700,7.874,-102131
2026-09-17T15:23:30.040,1789683810.040,124488,1.2010,5.342,-37227
2026-09-17T15:23:30.040,1789683810.041,124604,0.7176,3.192,5700
2026-09-17T15:23:30.441,1789683810.442,124719,0.4094,1.821,43060
2026-09-17T15:23:30.441,1789683810.442,124834,0.1611,0.717,68041
2026-09-17T15:23:30.442,1789683810.442,124950,0.0026,0.011,75800
2026-09-17T15:23:30.442,1789683810.442,125065,0.0189,0.084,69698
2026-09-17T15:23:30.844,1789683810.845,125180,0.0328,0.146,74671
2026-09-17T15:23:30.845,1789683810.845,125296,-0.0058,-0.026,75918
2026-09-17T15:23:30.845,1789683810.846,125411,-0.0207,-0.092,78708
2026-09-17T15:23:31.248,1789683811.248,125527,-0.0554,-0.246,83849
2026-09-17T15:23:31.248,1789683811.249,125642,-0.0649,-0.289,82735
2026-09-17T15:23:31.248,1789683811.249,125757,-0.0657,-0.292,83572
2026-09-17T15:23:31.249,1789683811.249,125873,-0.0808,-0.359,84749
2026-09-17T15:23:31.651,1789683811.651,125988,-0.0459,-0.204,76714
2026-09-17T15:23:31.651,1789683811.652,126103,-0.0044,-0.019,76053
2026-09-17T15:23:31.651,1789683811.652,126219,-0.0094,-0.042,79461
2026-09-17T15:23:32.056,1789683812.057,126334,-0.0506,-0.225,77363
2026-09-17T15:23:32.056,1789683812.057,126449,-0.0242,-0.108,79936
2026-09-17T15:23:32.057,1789683812.057,126565,-0.0282,-0.125,77944
2026-09-17T15:23:32.057,1789683812.057,126681,0.0418,0.186,59807
2026-09-17T15:23:32.457,1789683812.458,126795,0.2229,0.992,37284
2026-09-17T15:23:32.457,1789683812.458,126911,0.5271,2.345,-16730
2026-09-17T15:23:32.458,1789683812.458,127027,0.8937,3.976,-50773
2026-09-17T15:23:32.862,1789683812.862,127142,1.2760,5.676,-100476
2026-09-17T15:23:32.862,1789683812.862,127257,1.5932,7.087,-130698
2026-09-17T15:23:32.862,1789683812.863,127373,1.8806,8.365,-178604
2026-09-17T15:23:32.862,1789683812.863,127489,2.2925,10.198,-214402
2026-09-17T15:23:33.263,1789683813.264,127603,2.5165,11.194,-246911
2026-09-17T15:23:33.264,1789683813.264,127719,2.8671,12.754,-290596
2026-09-17T15:23:33.264,1789683813.265,127835,3.0943,13.764,-303793
2026-09-17T15:23:33.665,1789683813.665,127949,3.2392,14.409,-325821
2026-09-17T15:23:33.665,1789683813.665,128065,3.3590,14.941,-326857
2026-09-17T15:23:33.665,1789683813.666,128181,3.3473,14.890,-323048
2026-09-17T15:23:33.665,1789683813.666,128295,3.3570,14.933,-328679
2026-09-17T15:23:34.069,1789683814.070,128411,3.4138,15.185,-333921
2026-09-17T15:23:34.070,1789683814.070,128527,3.3952,15.103,-331950
